Date,SamsungElec,SamsungLife,Kodex,Bond
2013-09-09,1373000,102500,1974.67,53845
2013-09-10,1396000,101500,1994.06,53860
2013-09-11,1402000,101500,2003.85,53615
2013-09-12,1410000,102500,2004.06,53715
2013-09-13,1406000,102500,1994.32,53690
2013-09-16,1425000,103000,2013.37,53800
2013-09-17,1386000,103000,2005.58,53860
2013-09-23,1360000,105000,2009.41,53970
2013-09-24,1373000,103500,2007.1,53905
2013-09-25,1364000,103000,1998.06,53950
2013-09-26,1372000,103500,2007.32,53930
2013-09-27,1366000,102500,2011.8,53955
2013-09-30,1367000,104500,1996.96,53980
2013-10-01,1382000,105000,1998.87,53965
2013-10-02,1418000,106000,1999.47,53990
2013-10-04,1418000,105000,1996.98,53990
2013-10-07,1436000,104500,1994.42,54000
2013-10-08,1430000,106500,2002.76,53970
2013-10-10,1430000,103500,2001.4,53920
2013-10-11,1443000,104000,2024.9,53960
2013-10-14,1438000,102500,2020.27,53925
2013-10-15,1457000,104000,2040.96,53930
2013-10-16,1450000,104000,2034.61,53945
2013-10-17,1463000,104000,2040.61,53995
2013-10-18,1472000,104000,2052.4,54045
2013-10-21,1464000,104500,2053.01,54020
2013-10-22,1455000,105500,2056.12,54010
2013-10-23,1442000,105500,2035.75,54115
2013-10-24,1449000,105000,2046.69,54110
2013-10-25,1449000,105000,2034.39,54145
2013-10-28,1482000,105500,2048.14,54095
2013-10-29,1490000,105500,2051.76,54135
2013-10-30,1500000,105500,2059.58,54160
2013-10-31,1465000,104500,2030.09,54125
2013-11-01,1500000,104500,2039.42,54080
2013-11-04,1499000,103500,2025.17,54055
2013-11-05,1485000,102500,2013.93,54045
2013-11-06,1451000,104500,2013.67,54005
2013-11-07,1437000,104000,2004.04,54010
2013-11-08,1410000,102500,1984.87,54030
2013-11-11,1428000,101500,1977.3,53900
2013-11-12,1456000,102000,1995.48,53920
2013-11-13,1419000,100500,1963.56,53935
2013-11-14,1424000,100500,1967.56,53965
2013-11-15,1462000,101500,2005.64,53970
2013-11-18,1474000,101000,2010.81,53945
2013-11-19,1489000,102000,2031.64,53910
2013-11-20,1470000,102000,2017.24,53910
2013-11-21,1440000,101000,1993.78,53880
2013-11-22,1450000,101000,2006.23,53900
2013-11-25,1465000,101500,2015.98,53980
2013-11-26,1479000,101000,2022.64,53970
2013-11-27,1470000,102000,2028.81,53910
2013-11-28,1494000,102000,2045.77,53905
2013-11-29,1494000,102000,2044.87,53915
2013-12-02,1467000,102000,2030.78,53835
2013-12-03,1461000,101000,2009.36,53840
2013-12-04,1432000,100500,1986.8,53905
2013-12-05,1440000,99100,1984.77,53860
2013-12-06,1428000,97400,1980.41,53890
2013-12-09,1454000,99300,2000.38,53910
2013-12-10,1440000,99100,1993.45,53945
2013-12-11,1420000,97500,1977.97,53460
2013-12-12,1410000,96100,1967.93,53460
2013-12-13,1390000,97000,1962.91,53525
2013-12-16,1400000,98900,1961.15,53630
2013-12-17,1395000,100500,1965.74,53690
2013-12-18,1401000,102000,1974.63,53690
2013-12-19,1427000,101500,1975.65,53725
2013-12-20,1427000,102000,1983.35,53725
2013-12-23,1433000,102500,1996.89,53710
2013-12-24,1415000,104500,2001.59,53735
2013-12-26,1408000,104500,1999.3,53720
2013-12-27,1396000,103000,2002.28,53850
2013-12-30,1372000,104000,2011.34,53775
